Size	   Bubble Sort	Selection Sort	Insertion Sort
50	76953.31	29556.74	21005.19
100	55000.02	15443.905	62386.45
150	114441.62	30605.145	30740.1
200	184170.81	50151.594	45901.35
250	277649.28	76827.48	68822.9
300	405726.0	108245.86	101256.96
350	529202.7	135651.06	128235.47
400	701689.2	179772.77	168573.73
450	876692.06	228314.44	212474.94
500	1065123.8	266378.94	258731.88
550	1362279.6	335473.7	330979.03
600	1516436.0	391686.1	378131.12
650	1793014.5	455967.12	447891.2
700	2117502.5	541590.44	520433.8
750	2392715.5	588058.8	561649.2
800	2707571.0	671614.4	671786.2
850	2992263.2	731017.75	714149.94
900	3391263.2	837384.0	835513.25
950	3817597.5	906037.06	916690.9
1000	4083630.8	986496.75	1010087.5
